,label,elem,chem_function_name,density_function_name,resolution,material,carbon_level,hydration_level,serial,filename
189,MMica_D1p315_C0p04_H0p05,,material_to_carbon_mechanical_mix_Mica_0p04,density_char_1p315,"(1, 1, 1)",Mica,0.04,0.05,189,MMica_D1p315_C0p04_H0p05.txt
190,MMica_D1p315_C0p04_H0p1,,material_to_carbon_mechanical_mix_Mica_0p04,density_char_1p315,"(1, 1, 1)",Mica,0.04,0.1,190,MMica_D1p315_C0p04_H0p1.txt
191,MMica_D1p315_C0p04_H0p15,,material_to_carbon_mechanical_mix_Mica_0p04,density_char_1p315,"(1, 1, 1)",Mica,0.04,0.15,191,MMica_D1p315_C0p04_H0p15.txt
192,MMica_D1p315_C0p04_H0p2,,material_to_carbon_mechanical_mix_Mica_0p04,density_char_1p315,"(1, 1, 1)",Mica,0.04,0.2,192,MMica_D1p315_C0p04_H0p2.txt
193,MMica_D1p315_C0p05_H0p0,,material_to_carbon_mechanical_mix_Mica_0p05,density_char_1p315,"(1, 1, 1)",Mica,0.05,0.0,193,MMica_D1p315_C0p05_H0p0.txt
194,MMica_D1p315_C0p05_H0p05,,material_to_carbon_mechanical_mix_Mica_0p05,density_char_1p315,"(1, 1, 1)",Mica,0.05,0.05,194,MMica_D1p315_C0p05_H0p05.txt
195,MMica_D1p315_C0p05_H0p1,,material_to_carbon_mechanical_mix_Mica_0p05,density_char_1p315,"(1, 1, 1)",Mica,0.05,0.1,195,MMica_D1p315_C0p05_H0p1.txt
196,MMica_D1p315_C0p05_H0p15,,material_to_carbon_mechanical_mix_Mica_0p05,density_char_1p315,"(1, 1, 1)",Mica,0.05,0.15,196,MMica_D1p315_C0p05_H0p15.txt
197,MMica_D1p315_C0p05_H0p2,,material_to_carbon_mechanical_mix_Mica_0p05,density_char_1p315,"(1, 1, 1)",Mica,0.05,0.2,197,MMica_D1p315_C0p05_H0p2.txt
198,MMica_D1p315_C0p06_H0p0,,material_to_carbon_mechanical_mix_Mica_0p06,density_char_1p315,"(1, 1, 1)",Mica,0.06,0.0,198,MMica_D1p315_C0p06_H0p0.txt
199,MMica_D1p315_C0p06_H0p05,,material_to_carbon_mechanical_mix_Mica_0p06,density_char_1p315,"(1, 1, 1)",Mica,0.06,0.05,199,MMica_D1p315_C0p06_H0p05.txt
200,MMica_D1p315_C0p06_H0p1,,material_to_carbon_mechanical_mix_Mica_0p06,density_char_1p315,"(1, 1, 1)",Mica,0.06,0.1,200,MMica_D1p315_C0p06_H0p1.txt
201,MMica_D1p315_C0p06_H0p15,,material_to_carbon_mechanical_mix_Mica_0p06,density_char_1p315,"(1, 1, 1)",Mica,0.06,0.15,201,MMica_D1p315_C0p06_H0p15.txt
202,MMica_D1p315_C0p06_H0p2,,material_to_carbon_mechanical_mix_Mica_0p06,density_char_1p315,"(1, 1, 1)",Mica,0.06,0.2,202,MMica_D1p315_C0p06_H0p2.txt
203,MMica_D1p315_C0p07_H0p0,,material_to_carbon_mechanical_mix_Mica_0p07,density_char_1p315,"(1, 1, 1)",Mica,0.07,0.0,203,MMica_D1p315_C0p07_H0p0.txt
204,MMica_D1p315_C0p07_H0p05,,material_to_carbon_mechanical_mix_Mica_0p07,density_char_1p315,"(1, 1, 1)",Mica,0.07,0.05,204,MMica_D1p315_C0p07_H0p05.txt
205,MMica_D1p315_C0p07_H0p1,,material_to_carbon_mechanical_mix_Mica_0p07,density_char_1p315,"(1, 1, 1)",Mica,0.07,0.1,205,MMica_D1p315_C0p07_H0p1.txt
206,MMica_D1p315_C0p07_H0p15,,material_to_carbon_mechanical_mix_Mica_0p07,density_char_1p315,"(1, 1, 1)",Mica,0.07,0.15,206,MMica_D1p315_C0p07_H0p15.txt
207,MMica_D1p315_C0p07_H0p2,,material_to_carbon_mechanical_mix_Mica_0p07,density_char_1p315,"(1, 1, 1)",Mica,0.07,0.2,207,MMica_D1p315_C0p07_H0p2.txt
208,MMica_D1p315_C0p08_H0p0,,material_to_carbon_mechanical_mix_Mica_0p08,density_char_1p315,"(1, 1, 1)",Mica,0.08,0.0,208,MMica_D1p315_C0p08_H0p0.txt
209,MMica_D1p315_C0p08_H0p05,,material_to_carbon_mechanical_mix_Mica_0p08,density_char_1p315,"(1, 1, 1)",Mica,0.08,0.05,209,MMica_D1p315_C0p08_H0p05.txt
210,MMica_D1p315_C0p08_H0p1,,material_to_carbon_mechanical_mix_Mica_0p08,density_char_1p315,"(1, 1, 1)",Mica,0.08,0.1,210,MMica_D1p315_C0p08_H0p1.txt
211,MMica_D1p315_C0p08_H0p15,,material_to_carbon_mechanical_mix_Mica_0p08,density_char_1p315,"(1, 1, 1)",Mica,0.08,0.15,211,MMica_D1p315_C0p08_H0p15.txt
212,MMica_D1p315_C0p08_H0p2,,material_to_carbon_mechanical_mix_Mica_0p08,density_char_1p315,"(1, 1, 1)",Mica,0.08,0.2,212,MMica_D1p315_C0p08_H0p2.txt
213,MMica_D1p315_C0p09_H0p0,,material_to_carbon_mechanical_mix_Mica_0p09,density_char_1p315,"(1, 1, 1)",Mica,0.09,0.0,213,MMica_D1p315_C0p09_H0p0.txt
214,MMica_D1p315_C0p09_H0p05,,material_to_carbon_mechanical_mix_Mica_0p09,density_char_1p315,"(1, 1, 1)",Mica,0.09,0.05,214,MMica_D1p315_C0p09_H0p05.txt
215,MMica_D1p315_C0p09_H0p1,,material_to_carbon_mechanical_mix_Mica_0p09,density_char_1p315,"(1, 1, 1)",Mica,0.09,0.1,215,MMica_D1p315_C0p09_H0p1.txt
216,MMica_D1p315_C0p09_H0p15,,material_to_carbon_mechanical_mix_Mica_0p09,density_char_1p315,"(1, 1, 1)",Mica,0.09,0.15,216,MMica_D1p315_C0p09_H0p15.txt
217,MMica_D1p315_C0p09_H0p2,,material_to_carbon_mechanical_mix_Mica_0p09,density_char_1p315,"(1, 1, 1)",Mica,0.09,0.2,217,MMica_D1p315_C0p09_H0p2.txt
218,MMica_D1p315_C0p1_H0p0,,material_to_carbon_mechanical_mix_Mica_0p1,density_char_1p315,"(1, 1, 1)",Mica,0.1,0.0,218,MMica_D1p315_C0p1_H0p0.txt
219,MMica_D1p315_C0p1_H0p05,,material_to_carbon_mechanical_mix_Mica_0p1,density_char_1p315,"(1, 1, 1)",Mica,0.1,0.05,219,MMica_D1p315_C0p1_H0p05.txt
220,MMica_D1p315_C0p1_H0p1,,material_to_carbon_mechanical_mix_Mica_0p1,density_char_1p315,"(1, 1, 1)",Mica,0.1,0.1,220,MMica_D1p315_C0p1_H0p1.txt
221,MMica_D1p315_C0p1_H0p15,,material_to_carbon_mechanical_mix_Mica_0p1,density_char_1p315,"(1, 1, 1)",Mica,0.1,0.15,221,MMica_D1p315_C0p1_H0p15.txt
222,MMica_D1p315_C0p1_H0p2,,material_to_carbon_mechanical_mix_Mica_0p1,density_char_1p315,"(1, 1, 1)",Mica,0.1,0.2,222,MMica_D1p315_C0p1_H0p2.txt
223,MMica_D1p315_C0p11_H0p0,,material_to_carbon_mechanical_mix_Mica_0p11,density_char_1p315,"(1, 1, 1)",Mica,0.11,0.0,223,MMica_D1p315_C0p11_H0p0.txt
224,MMica_D1p315_C0p11_H0p05,,material_to_carbon_mechanical_mix_Mica_0p11,density_char_1p315,"(1, 1, 1)",Mica,0.11,0.05,224,MMica_D1p315_C0p11_H0p05.txt
225,MMica_D1p315_C0p11_H0p1,,material_to_carbon_mechanical_mix_Mica_0p11,density_char_1p315,"(1, 1, 1)",Mica,0.11,0.1,225,MMica_D1p315_C0p11_H0p1.txt
226,MMica_D1p315_C0p11_H0p15,,material_to_carbon_mechanical_mix_Mica_0p11,density_char_1p315,"(1, 1, 1)",Mica,0.11,0.15,226,MMica_D1p315_C0p11_H0p15.txt
227,MMica_D1p315_C0p11_H0p2,,material_to_carbon_mechanical_mix_Mica_0p11,density_char_1p315,"(1, 1, 1)",Mica,0.11,0.2,227,MMica_D1p315_C0p11_H0p2.txt
228,MMica_D1p315_C0p12_H0p0,,material_to_carbon_mechanical_mix_Mica_0p12,density_char_1p315,"(1, 1, 1)",Mica,0.12,0.0,228,MMica_D1p315_C0p12_H0p0.txt
229,MMica_D1p315_C0p12_H0p05,,material_to_carbon_mechanical_mix_Mica_0p12,density_char_1p315,"(1, 1, 1)",Mica,0.12,0.05,229,MMica_D1p315_C0p12_H0p05.txt
230,MMica_D1p315_C0p12_H0p1,,material_to_carbon_mechanical_mix_Mica_0p12,density_char_1p315,"(1, 1, 1)",Mica,0.12,0.1,230,MMica_D1p315_C0p12_H0p1.txt
231,MMica_D1p315_C0p12_H0p15,,material_to_carbon_mechanical_mix_Mica_0p12,density_char_1p315,"(1, 1, 1)",Mica,0.12,0.15,231,MMica_D1p315_C0p12_H0p15.txt
232,MMica_D1p315_C0p12_H0p2,,material_to_carbon_mechanical_mix_Mica_0p12,density_char_1p315,"(1, 1, 1)",Mica,0.12,0.2,232,MMica_D1p315_C0p12_H0p2.txt
233,MMica_D1p315_C0p13_H0p0,,material_to_carbon_mechanical_mix_Mica_0p13,density_char_1p315,"(1, 1, 1)",Mica,0.13,0.0,233,MMica_D1p315_C0p13_H0p0.txt
234,MMica_D1p315_C0p13_H0p05,,material_to_carbon_mechanical_mix_Mica_0p13,density_char_1p315,"(1, 1, 1)",Mica,0.13,0.05,234,MMica_D1p315_C0p13_H0p05.txt
235,MMica_D1p315_C0p13_H0p1,,material_to_carbon_mechanical_mix_Mica_0p13,density_char_1p315,"(1, 1, 1)",Mica,0.13,0.1,235,MMica_D1p315_C0p13_H0p1.txt
236,MMica_D1p315_C0p13_H0p15,,material_to_carbon_mechanical_mix_Mica_0p13,density_char_1p315,"(1, 1, 1)",Mica,0.13,0.15,236,MMica_D1p315_C0p13_H0p15.txt
237,MMica_D1p315_C0p13_H0p2,,material_to_carbon_mechanical_mix_Mica_0p13,density_char_1p315,"(1, 1, 1)",Mica,0.13,0.2,237,MMica_D1p315_C0p13_H0p2.txt
238,MMica_D1p315_C0p14_H0p0,,material_to_carbon_mechanical_mix_Mica_0p14,density_char_1p315,"(1, 1, 1)",Mica,0.14,0.0,238,MMica_D1p315_C0p14_H0p0.txt
239,MMica_D1p315_C0p14_H0p05,,material_to_carbon_mechanical_mix_Mica_0p14,density_char_1p315,"(1, 1, 1)",Mica,0.14,0.05,239,MMica_D1p315_C0p14_H0p05.txt
240,MMica_D1p315_C0p14_H0p1,,material_to_carbon_mechanical_mix_Mica_0p14,density_char_1p315,"(1, 1, 1)",Mica,0.14,0.1,240,MMica_D1p315_C0p14_H0p1.txt
241,MMica_D1p315_C0p14_H0p15,,material_to_carbon_mechanical_mix_Mica_0p14,density_char_1p315,"(1, 1, 1)",Mica,0.14,0.15,241,MMica_D1p315_C0p14_H0p15.txt
242,MMica_D1p315_C0p14_H0p2,,material_to_carbon_mechanical_mix_Mica_0p14,density_char_1p315,"(1, 1, 1)",Mica,0.14,0.2,242,MMica_D1p315_C0p14_H0p2.txt
243,MMica_D1p315_C0p15_H0p0,,material_to_carbon_mechanical_mix_Mica_0p15,density_char_1p315,"(1, 1, 1)",Mica,0.15,0.0,243,MMica_D1p315_C0p15_H0p0.txt
244,MMica_D1p315_C0p15_H0p05,,material_to_carbon_mechanical_mix_Mica_0p15,density_char_1p315,"(1, 1, 1)",Mica,0.15,0.05,244,MMica_D1p315_C0p15_H0p05.txt
245,MMica_D1p315_C0p15_H0p1,,material_to_carbon_mechanical_mix_Mica_0p15,density_char_1p315,"(1, 1, 1)",Mica,0.15,0.1,245,MMica_D1p315_C0p15_H0p1.txt
246,MMica_D1p315_C0p15_H0p15,,material_to_carbon_mechanical_mix_Mica_0p15,density_char_1p315,"(1, 1, 1)",Mica,0.15,0.15,246,MMica_D1p315_C0p15_H0p15.txt
247,MMica_D1p315_C0p15_H0p2,,material_to_carbon_mechanical_mix_Mica_0p15,density_char_1p315,"(1, 1, 1)",Mica,0.15,0.2,247,MMica_D1p315_C0p15_H0p2.txt
